Machine_ID,Hour,Air_Consumption
Machine_1,1,498.22043963648343
Machine_1,2,253.96157201376738
Machine_1,3,319.51475497990475
Machine_1,4,180.3046185892817
Machine_1,5,436.16414565029163
Machine_1,6,184.77626728213195
Machine_1,7,233.7589814513321
Machine_1,8,73.089477954192
Machine_1,9,488.6574543285457
Machine_1,10,113.78091195695012
Machine_1,11,236.8405984858578
Machine_1,12,105.14486901373371
Machine_1,13,345.03301507652367
Machine_1,14,57.84432334477274
Machine_1,15,265.6938287393688
Machine_1,16,121.05913020704378
Machine_1,17,507.5416318687164
Machine_1,18,217.08437109806005
Machine_1,19,145.38549028242784
Machine_1,20,320.69883941197486
Machine_1,21,516.030106872663
Machine_1,22,565.5888313930255
Machine_1,23,215.60983714579874
Machine_1,24,569.8568927573698
Machine_2,1,271.1076171773616
Machine_2,2,87.38354209560339
Machine_2,3,418.48138453212107
Machine_2,4,238.04826642709418
Machine_2,5,328.71367871134026
Machine_2,6,380.9080997250531
Machine_2,7,41.51338716398967
Machine_2,8,109.48622364084189
Machine_2,9,525.0277198874102
Machine_2,10,497.5266052043647
Machine_2,11,170.13934506618818
Machine_2,12,460.47332951730203
Machine_2,13,526.4237111845389
Machine_2,14,537.7927475700959
Machine_2,15,256.22095813777787
Machine_2,16,328.6534887470135
Machine_2,17,586.8151461844406
Machine_2,18,375.96773429639273
Machine_2,19,79.69568838978937
Machine_2,20,315.070297280012
Machine_2,21,388.87487472458923
Machine_2,22,453.25310035727256
Machine_2,23,559.4644403753126
Machine_2,24,375.96688156894635
Machine_3,1,131.58646085758838
Machine_3,2,256.9073514512693
Machine_3,3,66.22911587705909
Machine_3,4,496.49613912182747
Machine_3,5,288.69487357114167
Machine_3,6,269.2534831144027
Machine_3,7,124.02197765172852
Machine_3,8,273.2112301647777
Machine_3,9,323.7717878675249
Machine_3,10,232.69188891349265
Machine_3,11,71.81417371865923
Machine_3,12,227.2375405178124
Machine_3,13,506.21684839436784
Machine_3,14,193.62321038831777
Machine_3,15,215.9555744814664
Machine_3,16,534.0431788752386
Machine_3,17,187.0921018343953
Machine_3,18,331.5337194839322
Machine_3,19,394.62995315765863
Machine_3,20,541.535033924006
Machine_3,21,287.3427972854681
Machine_3,22,146.38928204381017
Machine_3,23,516.1801647735319
Machine_3,24,430.94481232509185
Machine_4,1,142.45466596532256
Machine_4,2,396.17186406886447
Machine_4,3,476.73432254900627
Machine_4,4,286.54840887370744
Machine_4,5,380.6659505148083
Machine_4,6,286.7352425000563
Machine_4,7,554.6846722727337
Machine_4,8,191.4720200995679
Machine_4,9,123.99728120153578
Machine_4,10,430.7892143959631
Machine_4,11,426.86084259967805
Machine_4,12,261.55901963238273
Machine_4,13,279.7691157491513
Machine_4,14,401.7405115078054
Machine_4,15,72.2248136270562
Machine_4,16,283.81000260728695
Machine_4,17,43.20792893074526
